agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,performance_index,cost_efficiency_ratio,autonomous_capability_score,DAY(timestamp),MONTH(timestamp),WEEKDAY(timestamp),YEAR(timestamp)
Customer Service,CodeT5+,Edge,Creative Writing,3.0,3.0,0.7581,0.7492,0.7778,36.22,1538.73,304.1,32.4,False,0.8915,True,True,0.76134,47.28819875776398,112.405,24,12,1,2024
Content Creator,Transformer-XL,Mobile,Problem Solving,7.0,8.0,0.3596,0.455,0.5105,91.31,216.62,431.0,66.0,True,0.4095,False,True,0.43349,12.142577030812324,108.665,24,12,1,2024
Task Planner,InstructGPT,Cloud,Code Generation,5.0,6.0,0.6128,0.6743,0.7004,58.69,900.35,367.7,62.1,True,0.654,False,False,0.65753,27.170661157024792,105.78,24,12,1,2024
Project Manager,PaLM-2,Edge,Text Processing,5.0,4.0,0.5154,0.5883,0.683,11.45,3981.0,355.6,57.0,True,0.5626,False,True,0.58755,69.94642857142857,79.382,24,12,1,2024
HR Recruiter,InstructGPT,Server,Research & Summarization,7.0,5.0,0.3457,0.5763,0.5748,53.2,816.49,417.8,69.7,True,0.3616,True,False,0.48361,21.118340611353712,75.312,24,12,1,2024
QA Tester,PaLM-2,Edge,Problem Solving,8.0,7.0,0.3071,0.4806,0.4605,78.8,117.75,505.4,93.4,True,0.3282,False,True,0.40517,12.543962848297214,92.974,24,12,1,2024
Document Processor,Falcon-180B,Hybrid,Problem Solving,9.0,10.0,0.3,0.4,0.4676,16.14,344.94,508.7,82.4,True,0.4377,False,True,0.3802799999999999,33.067826086956515,130.639,24,12,1,2024
Data Analyst,LLaMA-3,Edge,Research & Summarization,5.0,4.0,0.5771,0.5895,0.6144,49.63,502.84,389.0,60.6,True,0.6989,False,True,0.5920099999999999,27.66401869158878,88.923,24,12,1,2024
Task Planner,Mixtral-8x7B,Edge,Problem Solving,7.0,5.0,0.4213,0.5183,0.5366,80.06,1285.82,500.4,74.9,True,0.5528,False,True,0.48499,14.831498470948013,88.696,24,12,1,2024
Sales Assistant,Gemini-Pro,Hybrid,Communication,3.0,2.0,0.7677,0.7011,0.7382,26.63,1550.1,265.1,40.5,False,0.8603,False,True,0.73887,59.1096,100.221,24,12,1,2024
Code Assistant,LLaMA-3,Edge,Planning & Scheduling,7.0,8.0,0.4361,0.431,0.5759,30.77,1682.61,447.7,71.2,True,0.5538,False,True,0.47651,30.35095541401274,118.766,24,12,1,2024
Financial Advisor,Falcon-180B,Edge,Learning & Adaptation,8.0,9.0,0.3423,0.4078,0.4731,94.99,1031.78,506.8,82.7,True,0.4844,False,True,0.40119,10.641644562334216,123.908,24,12,1,2024
Code Assistant,Claude-3.5,Server,Problem Solving,9.0,8.0,0.3,0.4029,0.5009,114.32,1502.12,556.0,96.3,True,0.3564,False,True,0.3911399999999999,8.750335570469796,104.948,24,12,1,2024
Content Creator,LLaMA-3,Mobile,Text Processing,5.0,5.0,0.5346,0.6417,0.631,5.66,1260.69,340.7,67.5,True,0.6524,False,True,0.59565,94.54761904761904,95.668,24,12,1,2024
Data Analyst,InstructGPT,Mobile,Creative Writing,8.0,6.0,0.3,0.4139,0.5487,16.07,679.35,526.1,93.8,True,0.4192,False,True,0.40878,35.23965517241379,89.344,24,12,1,2024
Customer Service,GPT-4o,Mobile,Research & Summarization,8.0,6.0,0.3765,0.4684,0.488,50.96,578.09,464.1,74.5,True,0.4558,False,True,0.43752,19.35929203539823,91.906,24,12,1,2024
Document Processor,GPT-4o,Desktop,Creative Writing,4.0,6.0,0.6229,0.7183,0.7029,30.72,1369.0,318.4,54.9,True,0.6695,True,True,0.67552,46.91111111111111,106.865,24,12,1,2024
Email Manager,Claude-3.5,Cloud,Problem Solving,8.0,6.0,0.3939,0.4143,0.5447,57.68,1854.36,498.3,96.5,True,0.4648,False,False,0.44526,17.669047619047618,92.536,24,12,1,2024
Social Media Manager,Gemini-Pro,Desktop,Learning & Adaptation,8.0,8.0,0.3,0.4915,0.4831,90.17,932.87,558.4,90.3,True,0.4031,False,False,0.4123799999999999,11.267213114754098,108.217,25,12,2,2024
Research Assistant,Transformer-XL,Mobile,Creative Writing,6.0,5.0,0.4735,0.5349,0.5387,51.71,115.43,415.1,76.2,True,0.6143,True,True,0.5114799999999999,22.83392857142857,93.001,25,12,2,2024
Task Planner,Falcon-180B,Hybrid,Data Analysis,5.0,7.0,0.4336,0.614,0.6493,35.82,1044.21,339.1,68.5,True,0.4598,False,False,0.55243,33.89141104294479,102.186,25,12,2,2024
Project Manager,Transformer-XL,Mobile,Text Processing,2.0,1.0,0.7126,0.7875,0.7476,21.24,400.89,228.6,40.6,False,0.817,False,True,0.7455700000000001,71.68942307692309,87.19,25,12,2,2024
Project Manager,Mixtral-8x7B,Hybrid,Text Processing,4.0,4.0,0.5708,0.6586,0.6718,15.48,243.88,294.5,47.6,True,0.6987,False,True,0.6274399999999999,68.94945054945053,88.90899999999999,25,12,2,2024
Project Manager,CodeT5+,Edge,Data Analysis,4.0,5.0,0.7428,0.7113,0.6714,82.71,1221.39,310.5,62.9,False,0.8396,False,True,0.71193,22.458359621451105,128.772,25,12,2,2024
Code Assistant,Falcon-180B,Hybrid,Learning & Adaptation,9.0,7.0,0.3,0.4174,0.4172,57.43,2207.44,528.6,87.2,True,0.3701,False,False,0.37038,14.581889763779524,95.907,25,12,2,2024
Financial Advisor,InstructGPT,Edge,Data Analysis,8.0,8.0,0.3624,0.4423,0.5384,69.26,1551.07,494.5,79.1,True,0.4904,False,True,0.43917,15.143793103448274,114.328,25,12,2,2024
HR Recruiter,GPT-4o,Desktop,Planning & Scheduling,4.0,6.0,0.6506,0.6987,0.7492,16.27,163.02,273.8,52.4,True,0.6772,False,False,0.69461,75.50108695652173,107.404,25,12,2,2024
Research Assistant,PaLM-2,Server,Code Generation,7.0,6.0,0.415,0.5088,0.5153,45.05,300.02,427.2,64.0,True,0.4267,False,False,0.47323,23.31182266009852,89.869,25,12,2,2024
Sales Assistant,Transformer-XL,Mobile,Learning & Adaptation,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,True,0.53905,False,True,0.5292349999999999,27.966852002794596,102.434,25,12,2,2024
Document Processor,LLaMA-3,Server,Text Processing,4.0,4.0,0.605,0.6582,0.6959,18.26,651.68,269.4,47.3,True,0.6431,False,False,0.64823,66.14591836734694,85.017,25,12,2,2024
HR Recruiter,Claude-3.5,Server,Code Generation,3.0,5.0,0.8365,0.7362,0.751,53.02,423.49,257.0,35.1,False,0.95,False,False,0.7807599999999999,36.828301886792445,136.5,25,12,2,2024
Sales Assistant,Transformer-XL,Server,Data Analysis,4.0,5.0,0.6598,0.6832,0.6754,39.31,135.35,290.0,55.4,True,0.6935,False,True,0.6715000000000001,39.5,98.545,25,12,2,2024
Social Media Manager,CodeT5+,Server,Text Processing,6.0,6.0,0.5065,0.5781,0.584,26.66,809.76,401.2,64.7,True,0.591,False,False,0.55123,39.656834532374106,101.37,25,12,2,2024
QA Tester,GPT-4o,Desktop,Problem Solving,8.0,10.0,0.5128,0.4991,0.5406,106.91,144.81,559.2,92.1,True,0.6018,False,True,0.51703,12.251895734597156,142.126,25,12,2,2024
Data Analyst,Mixtral-8x7B,Desktop,Problem Solving,6.0,4.0,0.4838,0.5504,0.562,61.02,607.15,384.1,75.6,True,0.5805,False,False,0.52724,20.922222222222224,80.63499999999999,25,12,2,2024
Content Creator,Transformer-XL,Desktop,Creative Writing,6.0,6.0,0.4417,0.5908,0.5499,49.73,303.41,385.6,40.9,True,0.4563,True,False,0.5188900000000001,24.247196261682245,91.941,25,12,2,2024
Content Creator,Claude-3.5,Desktop,Learning & Adaptation,7.0,8.0,0.4055,0.5156,0.5355,107.92,384.46,457.7,83.4,True,0.415,False,False,0.47753,11.506746987951807,109.05,25,12,2,2024
Customer Service,InstructGPT,Desktop,Planning & Scheduling,6.0,5.0,0.3726,0.6059,0.6456,31.09,2982.08,424.1,75.6,True,0.4059,False,False,0.52449,33.621153846153845,78.413,25,12,2,2024
Social Media Manager,Gemini-Pro,Edge,Data Analysis,8.0,9.0,0.3146,0.5061,0.4883,50.78,232.24,514.6,78.8,True,0.4456,False,True,0.42416,18.36190476190476,121.192,25,12,2,2024
Project Manager,Gemini-Pro,Hybrid,Creative Writing,6.0,5.0,0.4553,0.5447,0.5878,28.0,303.8,481.7,76.4,True,0.5907,False,False,0.5218700000000001,34.33355263157895,91.349,26,12,3,2024
Task Planner,Falcon-180B,Desktop,Decision Making,5.0,4.0,0.5492,0.5903,0.6077,51.92,444.15,303.5,66.6,True,0.6153,False,False,0.57908,27.186854460093898,83.071,26,12,3,2024
Email Manager,PaLM-2,Server,Planning & Scheduling,4.0,4.0,0.593,0.6647,0.7039,29.03,1488.9,361.1,49.8,True,0.6296,False,False,0.6477799999999999,45.29930069930069,84.072,26,12,3,2024
Research Assistant,LLaMA-3,Mobile,Decision Making,9.0,8.0,0.3,0.4,0.4259,58.02,888.18,577.4,103.6,True,0.3582,False,True,0.36777,14.090804597701148,105.074,26,12,3,2024
Data Analyst,Gemini-Pro,Edge,Text Processing,6.0,5.0,0.5785,0.6098,0.638,16.46,436.24,441.5,82.0,True,0.6407,False,True,0.6057400000000001,55.57247706422019,94.849,26,12,3,2024
Content Creator,Mixtral-8x7B,Desktop,Creative Writing,4.0,2.0,0.523,0.6609,0.682,34.02,899.31,327.5,37.5,True,0.6566,False,False,0.61207,39.23525641025641,65.96199999999999,26,12,3,2024
Social Media Manager,InstructGPT,Hybrid,Problem Solving,8.0,6.0,0.3688,0.4253,0.4885,98.28,487.55,479.3,86.7,True,0.3844,False,True,0.42166,10.923834196891193,86.908,26,12,3,2024
Marketing Assistant,GPT-4o,Edge,Planning & Scheduling,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,True,0.5292349999999999,27.966852002794596,102.434,26,12,3,2024
Task Planner,CodeT5+,Edge,Text Processing,3.0,2.0,0.6936,0.724,0.787,33.35,779.52,295.0,35.9,True,0.7871,False,True,0.73074,48.39337748344371,75.09700000000001,26,12,3,2024
Project Manager,Mixtral-8x7B,Edge,Creative Writing,3.0,4.0,0.6723,0.8208,0.7265,32.87,163.88,297.6,53.6,True,0.7445,False,True,0.7331099999999999,49.20201342281879,92.115,26,12,3,2024
Sales Assistant,CodeT5+,Edge,Data Analysis,7.0,8.0,0.4057,0.5786,0.5578,11.26,292.76,461.4,76.4,True,0.4483,False,True,0.5032,53.53191489361703,111.381,26,12,3,2024
Financial Advisor,InstructGPT,Edge,Creative Writing,8.0,7.0,0.3666,0.4688,0.5151,17.94,254.65,473.1,87.1,True,0.5102,False,True,0.44181,37.761538461538464,105.714,26,12,3,2024
Customer Service,InstructGPT,Desktop,Learning & Adaptation,8.0,9.0,0.3399,0.5077,0.4782,56.33,543.61,489.6,103.7,True,0.4519,False,False,0.43173,17.478947368421053,121.633,26,12,3,2024
Social Media Manager,Transformer-XL,Server,Code Generation,3.0,4.0,0.7431,0.7638,0.6711,52.89,1154.53,265.0,59.1,False,0.7487,False,False,0.7277100000000001,34.16478873239437,112.409,26,12,3,2024
Social Media Manager,LLaMA-3,Hybrid,Learning & Adaptation,7.0,6.0,0.4169,0.4753,0.5689,87.04,1051.03,444.1,68.8,True,0.5489,False,False,0.48002,13.913623188405795,98.423,26,12,3,2024
Sales Assistant,Claude-3.5,Desktop,Data Analysis,5.0,5.0,0.4652,0.6604,0.6383,70.31,671.23,389.6,60.0,True,0.5501,True,False,0.57569,20.342402826855125,88.507,26,12,3,2024
Data Analyst,GPT-4o,Server,Decision Making,7.0,8.0,0.3834,0.5289,0.5631,36.53,473.73,445.4,78.0,True,0.3909,False,False,0.48096,27.327272727272728,107.363,26,12,3,2024
Task Planner,PaLM-2,Server,Communication,6.0,8.0,0.4856,0.5723,0.5887,7.39,1309.82,377.3,54.1,True,0.6011,False,False,0.54254,75.35277777777779,122.077,26,12,3,2024
Research Assistant,GPT-4o,Hybrid,Creative Writing,4.0,2.0,0.6782,0.6853,0.7123,29.57,1160.39,255.6,54.0,True,0.8232,True,False,0.6905600000000001,51.53432835820897,77.624,26,12,3,2024
Data Analyst,Gemini-Pro,Mobile,Creative Writing,8.0,10.0,0.4372,0.4322,0.5064,37.44,414.08,567.9,82.6,True,0.5791,True,True,0.45646,23.77395833333333,140.537,26,12,3,2024
Project Manager,CodeT5+,Desktop,Problem Solving,9.0,10.0,0.3,0.4266,0.4344,111.41,2393.87,507.2,77.2,True,0.3974,False,True,0.3782999999999999,8.756944444444443,127.818,26,12,3,2024
QA Tester,CodeT5+,Mobile,Text Processing,5.0,7.0,0.5367,0.6434,0.6307,31.17,3690.15,355.6,63.4,True,0.6114,False,True,0.5969099999999999,40.06107382550335,112.798,26,12,3,2024
Document Processor,PaLM-2,Mobile,Code Generation,7.0,8.0,0.4634,0.4645,0.5994,59.93,264.36,436.8,78.0,True,0.6061,False,True,0.50453,19.941897233201583,122.427,26,12,3,2024
Research Assistant,Mixtral-8x7B,Edge,Data Analysis,4.0,2.0,0.607,0.666,0.7166,79.21,1508.29,303.4,37.8,True,0.6202,True,True,0.65758,21.63092105263158,63.414,26,12,3,2024
Document Processor,InstructGPT,Cloud,Data Analysis,4.0,4.0,0.6363,0.7104,0.7368,76.75,520.48,303.6,64.0,True,0.724,True,False,0.6886800000000001,23.26621621621622,90.68,26,12,3,2024
Email Manager,Mixtral-8x7B,Desktop,Data Analysis,4.0,3.0,0.6399,0.6575,0.6546,89.27,1214.06,270.7,61.2,True,0.7653,False,True,0.64959,19.39074626865672,83.571,26,12,3,2024
HR Recruiter,Mixtral-8x7B,Cloud,Learning & Adaptation,7.0,6.0,0.3421,0.5392,0.565,58.17,272.76,442.4,72.1,True,0.3622,False,True,0.4680999999999999,18.875,85.354,26,12,3,2024
Sales Assistant,PaLM-2,Cloud,Communication,4.0,6.0,0.59,0.6622,0.6519,25.18,600.18,316.2,57.8,True,0.6141,False,False,0.63023,50.018253968253966,102.987,26,12,3,2024
Data Analyst,Claude-3.5,Cloud,Decision Making,8.0,6.0,0.4116,0.4697,0.5681,43.79,1023.64,453.5,85.9,True,0.4565,False,False,0.4759799999999999,23.68059701492537,91.955,26,12,3,2024
Email Manager,PaLM-2,Edge,Problem Solving,6.0,6.0,0.4733,0.5931,0.6235,75.72,357.53,406.2,63.8,True,0.6006,False,True,0.5543,18.293729372937293,102.042,27,12,4,2024
Content Creator,Gemini-Pro,Cloud,Text Processing,6.0,8.0,0.4096,0.5603,0.5972,32.88,1421.73,371.6,67.9,True,0.5309,False,False,0.51109,32.55350318471338,117.163,27,12,4,2024
Document Processor,InstructGPT,Cloud,Planning & Scheduling,3.0,2.0,0.7241,0.7474,0.8388,28.9,261.92,209.4,43.3,False,0.8587,False,False,0.7655,60.275590551181104,100.109,27,12,4,2024
Marketing Assistant,PaLM-2,Cloud,Research & Summarization,8.0,8.0,0.3786,0.4412,0.4913,48.55,231.59,496.1,76.0,True,0.4597,False,False,0.4311899999999999,19.510859728506784,112.179,27,12,4,2024
Email Manager,Gemini-Pro,Hybrid,Problem Solving,8.0,6.0,0.3368,0.4567,0.5092,69.77,1223.79,507.4,67.7,True,0.4655,False,False,0.42449,14.487713310580206,92.585,27,12,4,2024
Project Manager,PaLM-2,Hybrid,Planning & Scheduling,7.0,7.0,0.3857,0.504,0.5174,29.33,728.0,439.7,55.1,True,0.4901,False,False,0.4607,30.309210526315788,104.307,27,12,4,2024
Document Processor,CodeT5+,Hybrid,Communication,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,False,0.5292349999999999,27.966852002794596,102.434,27,12,4,2024
QA Tester,Transformer-XL,Cloud,Problem Solving,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,True,0.53905,False,False,0.5292349999999999,27.966852002794596,102.434,27,12,4,2024
Marketing Assistant,Gemini-Pro,Hybrid,Data Analysis,5.0,5.0,0.5593,0.6849,0.6923,37.9,1419.57,371.6,66.4,True,0.6896,False,True,0.63688,36.60229885057471,98.272,27,12,4,2024
Customer Service,InstructGPT,Server,Text Processing,5.0,7.0,0.5079,0.6691,0.6402,18.4,1095.06,382.6,63.3,True,0.6243,False,True,0.59595,54.17727272727273,113.701,27,12,4,2024
Financial Advisor,Mixtral-8x7B,Desktop,Data Analysis,4.0,6.0,0.5511,0.6928,0.6524,59.3,432.22,247.2,60.7,True,0.6177,True,False,0.624,26.89655172413793,103.239,27,12,4,2024
Social Media Manager,Claude-3.5,Server,Creative Writing,4.0,6.0,0.6365,0.7578,0.7151,24.67,442.55,292.0,53.4,True,0.6374,False,False,0.6964699999999999,57.5595041322314,104.618,27,12,4,2024
Translation Agent,Falcon-180B,Mobile,Research & Summarization,8.0,9.0,0.3,0.4113,0.4625,63.59,282.48,545.1,85.3,True,0.3043,False,True,0.38214,13.845652173913043,111.301,27,12,4,2024
Email Manager,GPT-4o,Mobile,Data Analysis,4.0,6.0,0.6242,0.6993,0.7577,96.25,164.95,343.8,53.3,True,0.7,True,True,0.6867800000000001,18.815890410958907,109.0,27,12,4,2024
Sales Assistant,Claude-3.5,Cloud,Decision Making,8.0,10.0,0.3,0.4303,0.5352,20.42,250.82,509.3,77.2,True,0.3553,False,False,0.40965,31.755813953488367,124.871,27,12,4,2024
Project Manager,Gemini-Pro,Cloud,Research & Summarization,5.0,6.0,0.6707,0.585,0.6466,53.66,455.06,378.8,59.3,True,0.6844,False,True,0.63776,28.095154185022025,107.908,27,12,4,2024
Content Creator,GPT-4o,Mobile,Communication,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,True,0.5292349999999999,27.966852002794596,102.434,27,12,4,2024
Marketing Assistant,Gemini-Pro,Edge,Text Processing,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,True,0.5292349999999999,27.966852002794596,102.434,27,12,4,2024
Task Planner,LLaMA-3,Cloud,Creative Writing,5.0,3.0,0.5998,0.6126,0.6743,38.18,768.97,327.6,69.9,True,0.7341,True,False,0.62599,36.822941176470586,81.387,27,12,4,2024
Task Planner,InstructGPT,Hybrid,Learning & Adaptation,10.0,8.0,0.3,0.4164,0.4162,112.24,2058.95,600.5,91.8,True,0.433,False,False,0.36978,8.328378378378378,110.31,27,12,4,2024
Research Assistant,GPT-4o,Cloud,Data Analysis,5.0,6.0,0.6822,0.7102,0.6899,67.57,785.24,329.5,56.4,True,0.7704,True,False,0.69291,25.854850746268657,113.928,27,12,4,2024
Document Processor,GPT-4o,Server,Learning & Adaptation,8.0,8.0,0.429,0.5274,0.4959,96.14,117.54,471.7,70.3,True,0.5232,False,False,0.4785899999999999,12.66111111111111,116.624,27,12,4,2024
Email Manager,Claude-3.5,Cloud,Text Processing,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,False,0.5292349999999999,27.966852002794596,102.434,27,12,4,2024
Marketing Assistant,GPT-4o,Hybrid,Decision Making,7.0,6.0,0.4054,0.4899,0.5165,26.38,761.07,480.3,84.0,True,0.42,False,False,0.46408,31.78630136986302,89.4,27,12,4,2024
Code Assistant,Mixtral-8x7B,Server,Creative Writing,7.0,9.0,0.389,0.547,0.508,34.15,1219.94,452.4,79.1,True,0.4759,True,False,0.4720999999999999,27.934911242603544,123.313,27,12,4,2024
Task Planner,CodeT5+,Edge,Text Processing,4.0,5.0,0.6459,0.7068,0.7169,38.4,428.84,288.3,41.8,True,0.7756,False,True,0.68547,41.04610778443114,104.292,27,12,4,2024
Email Manager,LLaMA-3,Mobile,Communication,5.0,4.0,0.4562,0.623,0.7183,21.48,278.54,346.0,75.0,True,0.5838,False,True,0.58487,50.4198275862069,80.866,27,12,4,2024
Content Creator,Falcon-180B,Mobile,Planning & Scheduling,4.0,4.0,0.6292,0.6811,0.6484,26.55,1318.68,296.1,61.7,True,0.7662,False,True,0.65053,50.82265625000001,93.634,27,12,4,2024
Research Assistant,Mixtral-8x7B,Server,Decision Making,6.0,4.0,0.4158,0.6003,0.5599,56.47,1601.03,377.0,89.1,True,0.489,False,False,0.51438,21.79576271186441,74.22999999999999,27,12,4,2024
Marketing Assistant,Mixtral-8x7B,Cloud,Text Processing,4.0,4.0,0.6335,0.6756,0.7112,25.09,265.71,363.1,59.4,True,0.7558,False,True,0.66944,51.495384615384616,92.906,27,12,4,2024
Task Planner,GPT-4o,Edge,Code Generation,8.0,6.0,0.3156,0.4759,0.472,63.96,897.02,492.9,79.8,True,0.3359,False,True,0.4106099999999999,15.095955882352936,83.513,27,12,4,2024
Research Assistant,Falcon-180B,Desktop,Problem Solving,6.0,6.0,0.4302,0.5046,0.5678,63.52,685.88,357.5,74.0,True,0.4805,False,False,0.4938,19.214007782101167,93.635,28,12,5,2024
Content Creator,Falcon-180B,Cloud,Communication,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,False,0.5292349999999999,27.966852002794596,102.434,28,12,5,2024
Code Assistant,Mixtral-8x7B,Server,Data Analysis,6.0,5.0,0.4362,0.5603,0.5732,86.31,376.58,437.5,81.8,True,0.5653,False,False,0.5145299999999999,15.088856304985336,89.571,28,12,5,2024
Customer Service,Mixtral-8x7B,Mobile,Creative Writing,4.0,4.0,0.595,0.6797,0.6798,3.03,1030.24,334.5,56.9,True,0.6395,True,True,0.6458499999999999,119.60185185185183,84.765,28,12,5,2024
Task Planner,CodeT5+,Cloud,Planning & Scheduling,7.0,5.0,0.4052,0.4981,0.6043,23.92,418.18,454.5,77.4,True,0.4108,False,False,0.4927999999999999,36.50370370370369,78.756,28,12,5,2024
Marketing Assistant,InstructGPT,Edge,Text Processing,4.0,3.0,0.6726,0.7132,0.7643,26.84,105.68,351.8,51.8,True,0.678,False,True,0.71229,52.76222222222221,77.46000000000001,28,12,5,2024
Research Assistant,CodeT5+,Hybrid,Decision Making,9.0,8.0,0.3,0.4,0.4966,21.8,1688.12,511.6,77.4,True,0.3296,False,False,0.38898,29.028358208955225,103.072,28,12,5,2024
Social Media Manager,Claude-3.5,Desktop,Text Processing,3.0,2.0,0.7356,0.7336,0.7958,15.94,379.81,300.5,30.1,False,0.8215,False,True,0.75306,80.97419354838709,97.505,28,12,5,2024
Translation Agent,Claude-3.5,Hybrid,Research & Summarization,7.0,8.0,0.3833,0.4896,0.5425,48.47,208.93,387.6,73.7,True,0.3987,True,False,0.46295,22.04523809523809,107.909,28,12,5,2024
Social Media Manager,InstructGPT,Edge,Text Processing,4.0,6.0,0.6413,0.6915,0.7054,20.95,1434.33,270.3,46.4,True,0.6599,False,True,0.67559,63.13925233644859,106.193,28,12,5,2024
Translation Agent,Gemini-Pro,Desktop,Communication,2.0,3.0,0.748,0.7452,0.8128,15.04,1398.36,198.2,38.9,False,0.7756,False,False,0.7666,95.825,104.292,28,12,5,2024
Data Analyst,PaLM-2,Desktop,Text Processing,2.0,4.0,0.8095,0.7982,0.765,20.54,215.83,230.7,37.4,False,0.8169,False,False,0.7927600000000001,77.72156862745099,117.183,28,12,5,2024
HR Recruiter,LLaMA-3,Desktop,Learning & Adaptation,9.0,10.0,0.329,0.4739,0.4767,98.73,1951.74,562.9,88.5,True,0.4533,False,True,0.41678,10.551392405063291,131.731,28,12,5,2024
Content Creator,Claude-3.5,Server,Creative Writing,3.0,1.0,0.7734,0.7865,0.8123,53.45,482.61,227.8,45.0,False,0.8863,False,False,0.7889999999999999,37.393364928909946,92.041,28,12,5,2024
Data Analyst,Transformer-XL,Desktop,Data Analysis,5.0,6.0,0.5473,0.582,0.5798,80.78,663.16,283.2,59.2,True,0.6424,False,False,0.56746,18.424025974025973,104.968,28,12,5,2024
